"Site";"Spongillidae";"Cyrnus sp.";"Ecnomus sp.";"Psychomyia pusilla";"Diura bicaudata";"Tinodes sp.";"Psychodidae";"Sisyra sp.";"Glossiphonia sp.";"Dendrocoelum lacteum";"Heptagenia sp.";"Gammarus sp.";"Muscidae gen.";"Cheumatopsyche lepida";"Elmis sp.";"Limnephilidae";"Empididae";"Enchytraeidae gen.";"Lype sp.";"Hydropsyche sp.";"Radix sp.";"Rhyacophila sp.";"Perlodes sp.";"Hemerodromiinae gen.";"Caenis sp.";"Agraylea sp.";"Brachycentrus sp.";"Potamothrix moldaviensis";"Polycelis sp.";"Coenagrionidae";"Polycentropus sp.";"Chaetogaster sp.";"Corophium sp.";"Torleya major";"Potamopyrgus antipodarum";"Halesus sp.";"Lasiocephala basalis";"Sericostoma sp.";"Prodiamesinae gen.";"Stictotarsus duodecimpustulatus";"Nais sp.";"Enchytraeidae";"Lepidostomatidae";"Stylodrilus heringianus";"Haplotaxis gordioides";"Limnius sp.";"Hydroptila sp.";"Helobdella stagnalis";"Ecdyonurus sp.";"Anabolia sp.";"Oreodytes sp.";"Piscicola geometra";"Lepidostoma hirtum";"Perlodidae";"Ancylus fluviatilis";"Ephemera sp.";"Hydra sp.";"Dugesia sp.";"Rhithrogena sp.";"Platambus maculatus";"Baetis sp.";"Mystacides sp.";"Nepa sp.";"Athripsodes sp.";"Anomalopterygella chauviniana";"Ophidonais serpentina";"Hydraena sp.";"Ceratopogonidae";"Lumbriculidae spp.";"Orectochilus villosus";"Psychomyiidae";"Glossosoma sp.";"Leuctra geniculata";"Leuctra sp.";"Riolus sp.";"Limoniidae";"Sialis sp.";"Goera pilosa";"Physella sp.";"Cloeon sp.";"Oulimnius sp.";"Plumatella sp.";"Eiseniella tetraedra";"Limnephilini spp.";"Asellus aquaticus";"Pisidium sp.";"Ceraclea sp.";"Agapetus sp.";"Aphelocheirus aestivalis";"Sphaerium sp.";"Erpobdella sp.";"Isoperla sp.";"Laccophilus sp.";"Tipulidae gen.";"Proasellus sp.";"Dolichopodidae";"Simuliini gen.";"Atherix sp.";"Serratella sp.";"Nebrioporus sp.";"Bithynia sp.";"Pediciinae gen.";"Chironomidae";"Ithytrichia sp.";"Oecetis sp.";"Chaetopterygini spp.";"Tubificidae"
1;0;0;0;16;0;0;0;0;0;440;0;32;0;0;0;0;0;0;3848;0;0;0;0;0;0;0;16;0;88;0;456;0;0;0;0;24;40;0;0;0;8;0;0;0;40;0;0;528;120;0;0;0;0;0;8;0;160;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;72;0;360;0;0;0;0;0;0;0;0;0
2;0;0;0;72;0;0;280;0;0;2;16;16;0;0;0;0;0;0;80;0;0;0;0;8;0;0;104;0;0;0;116;0;0;0;0;0;208;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;8;0;16;0;0;0;0;0;0;8
3;0;0;0;160;0;0;0;0;0;120;0;16;0;8;0;0;0;24;3784;0;0;0;0;0;0;0;0;0;0;0;88;0;4;0;0;0;144;0;0;0;0;0;0;0;8;0;0;96;200;0;0;0;0;0;16;0;120;0;0;0;208;0;0;0;0;104;0;0;0;0;264;0;0;0;0;0;0;0;0;0;0;0;16;136;0;0;0;0;104;0;144;0;8;0;0;8;0;8;0;0;0;0;0;0;24;8;0
4;0;0;8;560;0;0;80;24;0;24;104;176;0;0;0;0;0;8;424;0;0;0;0;104;0;0;216;0;0;0;176;0;0;0;0;0;240;8;0;0;0;0;8;0;0;0;0;80;0;0;0;0;24;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;16;0;32;0;0;0;0;0;8;0;0;0;16;24;0;0;0;0;16;0;0;0;0;8;0;0;0;0;0;112;0;0;0;0;0;0;0
5;0;0;0;1120;0;0;0;208;0;32;0;232;0;16;0;0;0;5038;4552;0;0;0;0;0;0;0;0;0;304;0;1520;16;0;0;0;8;40;0;0;0;8;0;0;0;0;16;0;2528;568;0;0;0;0;8;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;16;0;0;0;0;0;0;0;0;8;800;0;8;0;0;0;24;8;0;160;0;0;0;0;12480;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;8;0;0;32;0;0;0;0;0;0;0;0;0;3560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;720;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
7;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;40;0;0;0;0;8;0;0;0;0;0;0;96;0;80;0;0;0;14560;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;8;168;0;0;3880;0;336;0;0;1944;0;0;0;104;0;0;0;0;0;3200;0;0;0;0;0;0;0;0;0;0;248;0;0;0;0;16;0;0;0;0;0;0;8;16;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1880;0;520;0;0;24;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0
9;0;0;0;40;0;0;0;8;0;0;0;0;0;0;0;3;0;216;6080;0;0;728;0;0;0;0;8;0;24;0;408;0;0;0;0;0;440;0;0;0;0;0;0;0;0;0;0;5256;488;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;480;0;104;0;0;1664;0;24;0;0;56;0;0;0;12560;0;0;0;0;0;0;0;0;3
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0;0;0;0;0;1015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
