Hummock;Plot;Location;Juvenile density(#/m2);Seedling density (#/m2);Total N (mg/g);Total P (mg/g);Total K (mg/g);Shrub biomass(g/m2);Grass biomass (g/m2);Basal area total (cm2/m2);Basal area adults (cm2/m2);relPAR
A;A1;C;0.0;0.6;4.8;0.2;2.8;51.2;14.4;0.000000;0;99%
A;A2;C;0.2;1.1;4.7;0.2;2.5;35.6;43.1;0.006957;0;90%
A;A3;C;0.0;1.4;7.2;0.5;2.0;75.4;63.8;0.000000;0;96%
A;A4;C;0.0;0.0;4.0;0.2;2.9;48.0;23.7;0.000000;0;98%
A;A5;C;0.0;0.0;5.0;0.2;0.9;36.6;18.1;0.000000;0;89%
A;A6;C;0.0;0.0;6.5;0.4;1.9;58.0;5.6;0.000000;0;93%
A;A7;C;0.0;0.0;4.8;0.3;3.4;130.6;23.3;0.000000;0;94%
A;A8;C;0.8;0.0;6.1;0.3;2.9;50.6;2.6;0.053254;0;
A;A9;C;0.0;0.0;5.8;0.3;2.3;140.8;0.0;0.000000;0;99%
A;A11;C;0.3;0.3;4.8;0.3;2.9;122.2;17.0;0.075000;0;98%
B;B1;C;0.0;0.0;7.5;0.5;1.9;238.0;97.8;2.326550;2.3265503876;
B;B2;C;0.0;0.7;6.7;0.5;2.5;117.6;13.3;4.149020;4.1490196078;
B;B3;C;0.0;0.2;8.8;0.6;2.1;237.2;27.2;0.339861;0.3398606665;
B;B4;C;0.5;0.0;6.5;0.3;2.3;76.9;32.7;3.481286;3.4571428571;
B;B5;C;0.0;0.6;5.1;0.2;2.2;128.6;0.0;0.673660;0.6736596737;
B;B6;C;0.6;0.8;8.0;0.4;2.8;49.4;9.2;3.168522;3.1391304348;
B;B7;C;0.0;0.7;4.9;0.2;3.1;35.4;1.2;0.211117;0.21111665;
B;B8;C;0.0;0.0;4.8;0.3;2.7;257.7;68.0;1.592803;1.5928030303;
B;B9;C;0.0;0.2;8.2;0.4;2.0;334.6;1.1;1.052189;1.0521885522;
B;B10;C;0.0;0.0;8.4;0.6;2.1;269.7;1.6;25.502500;25.5025;
C;C1;C;0.3;1.7;6.3;0.3;1.4;137.4;0.0;0.066138;0;93%
C;C3;C;0.1;1.5;6.6;0.3;1.2;340.9;0.0;6.346065;6.3449074074;78%
C;C4;C;0.0;1.1;5.7;0.4;3.4;22.2;43.3;2.670940;2.6709401709;85%
C;C5;C;0.3;1.6;5.1;0.2;1.7;117.4;4.0;0.545800;0.5314303067;
C;C6;C;0.0;0.0;7.2;0.4;2.9;287.7;0.0;0.000000;0;95%
C;C8;C;0.4;2.0;5.6;0.4;2.8;93.4;29.4;3.510015;3.4822804314;
C;C9;C;0.2;1.2;6.2;0.2;1.5;67.2;26.0;1.143293;1.1417682927;97%
C;C10;C;0.2;0.6;6.7;0.5;2.1;235.7;9.9;1.303745;1.293348712;
C;C14;C;0.2;0.2;7.3;0.4;2.4;101.3;8.9;11.441169;11.4301948052;
C;C16;C;0.1;0.0;6.1;0.5;2.8;198.8;1.7;3.564449;3.5478170478;
